Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,486.9881116,535.3402774,590.4674934,559.2339402,548.5370949,494.3016296,489.7847414
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1095.241414,1217.678006,1486.53816,1854.945538,2090.854918,2062.99344,1777.44841
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3530.054028,3850.766176,3641.192766,3866.501647,3937.222372,3458.725714,3606.903851
Arab World,ARB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4783.437423,5429.710322,5847.78484,5920.747721,6043.694139,5443.483725,5182.501036
United Arab Emirates,ARE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,31812.97543,36076.38284,37502.56708,39176.95197,40199.43283,36198.91235,34579.66959
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,8751.992106,10930.02742,11189.26628,11216.58141,10536.78314,11728.03506,10729.86488
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2918.110539,3143.545827,3280.341004,3514.236835,3589.730537,3173.764425,3087.80998
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39898.81568,47596.45431,52383.77787,52646.40155,47779.62345,44026.95589,38859.32258
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39008.18009,42588.85128,39997.00016,41697.6759,42397.79623,35926.94511,36635.90191
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3920.787338,4639.036392,5151.252263,5774.793989,6106.651009,4478.772902,2874.761195
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,146.8217194,166.0249831,190.1259639,205.5235575,232.1525767,217.507403,201.7006078
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,37235.18674,38914.50255,37016.7462,38156.63714,38455.06984,32465.9008,33307.82187
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,637.3324269,697.1910401,702.2339721,765.8471086,789.7306315,655.3282937,656.8480076
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,454.6326324,500.947465,517.3814354,541.5344086,534.5250763,414.9702197,455.1429818
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,745.5683099,819.295655,844.3153987,936.8745548,1052.568076,1173.701486,1310.147752
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5580.350044,6348.5047,6166.983226,6391.005104,6563.615172,5797.339762,6326.075104
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16772.50217,17231.37658,17800.8709,18595.28324,17677.63418,19133.78273,18906.70514
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19702.64889,19385.31679,26250.40882,25507.69552,25175.36885,25421.23455,24603.44141
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4106.108982,4402.58328,4068.267369,4416.739575,4520.222856,3968.588752,4130.211149
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5364.951313,5802.182087,6169.451771,7005.548989,7335.552642,5170.602471,4297.007633
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2984.17016,3220.028656,3386.519104,3435.408215,3616.47032,3799.852311,3676.390327
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1588.682051,1833.53147,1985.488624,2210.85072,2355.333949,2484.49573,2528.416882
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9348.34907,10958.89728,10326.03682,10403.02574,10151.54307,7460.856524,7352.156644
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13796.18079,13598.25827,13943.50754,13827.85988,13770.25978,13618.16642,13396.92647
