Country Name;Dollar Price Pepsi bottle
Albania;1.08
Algeria;0.52
Argentina;1.02
Armenia;0.63
Australia;2.29
Austria;2.95
Azerbaijan;0.36
Belgium;2.49
Bosnia And Herzegovina;1.30
Brazil;1.17
Bulgaria;0.93
Canada;1.59
Chile;1.21
China;0.49
Colombia;0.68
Costa Rica;1.43
Croatia;2.04
Cyprus;1.66
Czech Republic;1.25
Denmark;3.16
Dominican Republic;0.85
Ecuador;0.75
Egypt;0.30
Estonia;1.61
Finland;2.50
France;2.65
Georgia;0.47
Germany;2.53
Greece;1.66
Hong Kong;1.21
Hungary;1.03
Iceland;2.56
India;0.41
Indonesia;0.63
Iran;0.50
Iraq;0.43
Ireland;1.80
Israel;2.35
Italy;2.29
Japan;1.19
Jordan;0.54
Kazakhstan;0.51
Kosovo (Disputed Territory);1.11
Latvia;1.11
Lebanon;0.90
Lithuania;1.37
Macedonia;1.15
Malaysia;0.55
Malta;1.76
Mexico;0.70
Moldova;0.67
Montenegro;1.78
Morocco;0.55
Nepal;0.46
Netherlands;2.52
New Zealand;2.11
Norway;3.34
Pakistan;0.27
Palestinian Territory;0.70
Panama;1.19
Peru;0.69
Philippines;0.50
Poland;0.99
Portugal;1.39
Puerto Rico;1.10
Qatar;0.46
Romania;1.17
Russia;0.76
Saudi Arabia;0.62
Serbia;1.22
Singapore;1.08
Slovakia;1.37
Slovenia;2.21
South Africa;0.91
South Korea;1.47
Spain;1.94
Sri Lanka;0.55
Sweden;2.03
Switzerland;3.97
Taiwan;0.87
Thailand;0.64
Tunisia;0.41
Turkey;0.66
Ukraine;0.46
United Arab Emirates;0.68
United Kingdom;1.55
United States;1.78
Uruguay;1.47
Vietnam;0.51
